Amount,Country,Offer ID,Tag,Time
$0.09,MM,#afa97c,#mainstream,2018-06-26 16:31:00
$0.34,LB,#a205e7,#aggressive,2018-06-26 16:31:00
$0.40,JP,#4277bf,#aggressive,2018-06-26 16:31:00
$0.06,ID,#d14474,#mainstream,2018-06-26 16:32:00
$0.10,ID,#c45747,#aggressive,2018-06-26 16:32:00
$0.12,PH,#33b9fa,#aggressive,2018-06-26 16:32:00
$4.24,CY,#f3b3f2,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.20,BR,#d5cb33,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.11,PE,#67b620,#adult,2018-06-26 16:32:00
$0.16,PS,#4f7e96,#mainstream,2018-06-26 16:32:00
$0.12,VN,#503295,#aggressive,2018-06-26 16:32:00
$0.04,MM,#d48908,#aggressive,2018-06-26 16:32:00
$0.24,YE,#eab3d9,#aggressive,2018-06-26 16:32:00
$0.12,PH,#33b9fa,#aggressive,2018-06-26 16:32:00
$0.02,GB,#6f7f35,#mainstream,2018-06-26 16:32:00
$1.50,IT,#4ff6af,#aggressive,2018-06-26 16:32:00
$1.50,IT,#e1be73,#aggressive,2018-06-26 16:32:00
$1.60,BG,#f94eae,#mainstream,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:32:00
$1.50,IT,#e1be73,#aggressive,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.02,TH,#7d149d,#mainstream,2018-06-26 16:32:00
$0.05,IN,#8a5c75,#mainstream,2018-06-26 16:32:00
$0.01,UA,#68f7eb,#mainstream,2018-06-26 16:32:00
$0.09,RO,#4e4513,#aggressive,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.16,KR,#d3bd2e,#mainstream,2018-06-26 16:32:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:32:00
$0.02,TH,#0d5d26,#adult,2018-06-26 16:32:00
$0.08,GB,#6f7f35,#mainstream,2018-06-26 16:32:00
$0.27,EG,#aaeb01,#mainstream,2018-06-26 16:32:00
$0.02,US,#746d92,#adult,2018-06-26 16:32:00
$0.28,IL,#bf3da4,#aggressive,2018-06-26 16:32:00
$0.09,TR,#8f5cba,#aggressive,2018-06-26 16:32:00
$0.06,IN,#fa0225,#aggressive,2018-06-26 16:32:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:32:00
$0.12,ID,#d35c5b,#aggressive,2018-06-26 16:32:00
$0.52,KE,#acbfb9,#mainstream,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.23,ES,#fddaa5,#aggressive,2018-06-26 16:32:00
$0.11,TH,#ecac38,#adult,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$2.16,PR,#6fab3c,#mainstream,2018-06-26 16:32:00
$0.10,ID,#306c65,#aggressive,2018-06-26 16:32:00
$0.05,ID,#eaf533,#mainstream,2018-06-26 16:32:00
$0.06,ID,#d14474,#mainstream,2018-06-26 16:32:00
$0.16,KR,#d3bd2e,#mainstream,2018-06-26 16:32:00
$2.58,DE,#574ba5,#mainstream,2018-06-26 16:32:00
$0.18,ES,#b0b4fe,#aggressive,2018-06-26 16:32:00
$0.27,EG,#aaeb01,#mainstream,2018-06-26 16:32:00
$2.80,IT,#f3e144,#mainstream,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.12,IT,#6ecbc3,#mainstream,2018-06-26 16:32:00
$0.06,IN,#a96580,#aggressive,2018-06-26 16:32:00
$1.70,IT,#68f7eb,#mainstream,2018-06-26 16:32:00
